,amount0In,amount0Out,amount1In,amount1Out,id,pair,timestamp,transaction,side
0,30,0,0,0.268823923477353514,0x85ca92806c6e2f57155e97958ba32719ef3aab5b43c9b68e8517e07c7fa5531b-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624418149,{'blockNumber': '12687998'},Sell
1,0,5.546372447248362489,0.05,0,0x6d575967d503eefc006d9f4d5970cefa2b928c1c60b87d3f2b2055182822305c-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624418121,{'blockNumber': '12687992'},Buy
2,759.80774558075333476,0,0,6.810805649197774231,0x488a1e8991a6ce9fe44d4b4f03c7344b9694a2780c116e71d96619bd10116fb3-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417990,{'blockNumber': '12687984'},Sell
3,30,0,0,0.269008395900146478,0x0ed954084519718e40d0571c2d5e33c373ed101088167e2d17e5fba125887b40-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417738,{'blockNumber': '12687965'},Sell
4,30,0,0,0.269015456362153913,0xdac977d26867b4135a1387990bb6e24da82f0487c1b92c9044f6f6005b9a77a8-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417725,{'blockNumber': '12687962'},Sell
5,30,0,0,0.269022517102270187,0xbad4d90a2de6d9940bd9aa19afe220f54082cf1874a7029bd664633e1f6f6e22-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417376,{'blockNumber': '12687944'},Sell
6,953.718082891309857036,0,0,8.556597617490623601,0xd85760b29815711825b5e9a4d4664877b7e496a1e5dc0e2d794765d40cb99218-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417320,{'blockNumber': '12687937'},Sell
7,69.801493067592091882,0,0,0.625966456224350257,0x89a23e9fd34c61da73facca3d0270bd10ba00c19dbc9f2684a0612392c56f3b3-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417320,{'blockNumber': '12687937'},Sell
8,655.872194892654116946,0,0,5.888519709829692735,0x98bda78f303e1ce73f538646c36c3bfadd2087d40d58233736f7c487873b5164-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417303,{'blockNumber': '12687936'},Sell
9,30,0,0,0.269425296102096431,0x5abb502ca73cea386ddf1c278afaea4e21682151bc5c02bed593305e8a0690ee-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417303,{'blockNumber': '12687936'},Sell
10,359.481471843985252388,0,0,3.228997981819416013,0xf5fc658eda55453861b123c50712831daa31a59a98d99b6cd8d2ca6a7ccd0c4a-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417105,{'blockNumber': '12687917'},Sell
11,134.755713433416755978,0,0,1.210688344003104576,0x8928da70c11b15c19f25a3a510cd27662b007e1145262944b9087e12dc00e22a-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417105,{'blockNumber': '12687917'},Sell
12,0,1580.346366174197119584,14.274830170177168324,0,0xa23b842bb534fccad910e1bdff1d091adb78f6ab7da45db4c8662ea0f7af56b4-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417098,{'blockNumber': '12687916'},Buy
13,4.836915903852080206,0,0,0.043398785037451507,0x088c2f0ab7c4fc68f9005b73b10acfdde1792aafe35dcee09e319c147b28cfa3-0,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624417080,{'blockNumber': '12687912'},Sell
14,34.83136244676712325,0,0,0.312526640892433837,0x23cef6f01654bd3eb9211e4d52871ba2bdc6be144582a0daceb1f6aebe7bde4a-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416882,{'blockNumber': '12687901'},Sell
15,103.537780296122965155,0,0,0.929055688114253028,0x13eb7fb64fc29025f84b0eaee922224ecd1f6f44a11d6ef54d15360aa1460acb-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416654,{'blockNumber': '12687887'},Sell
16,1.661826517600499051,0,0,0.014912434328910691,0x4d0c57bd1dc00eacb794289b6a61ec945d4f12971b4f31095bb2147985117690-1,"{'token0': {'symbol': 'UNI'}, 'token1': {'symbol': 'WETH'}, 'volumeUSD': '6635018532.100996716243138594779015'}",1624416549,{'blockNumber': '12687879'},Sell
